windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC,testMuMetric4_gA_3CC_Voting
0.5,63.7510879025239,60.509138381201,65.5570060922541
1,69.8336252189142,65.3677758318739,71.2346760070052
1.5,73.8870431893688,68.4385382059801,76.8106312292359
2,77.1095152603232,71.5439856373429,80.0718132854578
2.5,78.0542986425339,74.7737556561086,80.6561085972851
3,80.6802721088435,76.4625850340136,81.6326530612245
3.5,80.3225806451613,78.0645161290323,82.258064516129
4,81.9029850746269,80.2238805970149,83.955223880597
4.5,83.9662447257384,80.379746835443,85.2320675105485
5,83.9243498817967,83.451536643026,85.1063829787234
5.5,82.8496042216359,84.9604221635884,85.2242744063325
6,84.5930232558139,86.046511627907,86.3372093023256
6.5,85.4430379746835,87.6582278481013,86.7088607594937
7,85.1724137931035,86.2068965517241,86.8965517241379
7.5,85.3383458646617,87.218045112782,86.8421052631579
8,86.1788617886179,88.2113821138211,86.5853658536585
8.5,85.8974358974359,88.4615384615385,87.6068376068376
9,85.1851851851852,87.037037037037,87.5
9.5,85.1485148514851,87.6237623762376,87.6237623762376
10,87.2340425531915,88.8297872340426,88.2978723404255
10.5,87.1508379888268,89.9441340782123,89.9441340782123
11,85.207100591716,89.9408284023669,88.1656804733728
11.5,86.25,90,89.375
12,87.4172185430464,91.3907284768212,89.4039735099338
12.5,87.3239436619718,89.4366197183099,89.4366197183099
13,87.5912408759124,87.5912408759124,89.7810218978102
13.5,87.8787878787879,90.1515151515152,90.9090909090909
14,87.8048780487805,90.2439024390244,90.2439024390244
14.5,87.3949579831933,89.0756302521009,89.9159663865546
15,86.6071428571429,88.3928571428571,89.2857142857143
15.5,88.0733944954129,91.743119266055,89.9082568807339
16,88.4615384615385,92.3076923076923,90.3846153846154
16.5,87.7551020408163,90.8163265306122,89.7959183673469
17,88.4210526315789,90.5263157894737,91.5789473684211
17.5,89.5348837209302,89.5348837209302,90.6976744186046
18,89.2857142857143,90.4761904761905,90.4761904761905
18.5,89.2857142857143,89.2857142857143,90.4761904761905
19,89.1566265060241,87.9518072289157,90.3614457831325
19.5,88.8888888888889,87.6543209876543,90.1234567901235
20,90.7894736842105,90.7894736842105,92.1052631578947
20.5,90,91.4285714285714,91.4285714285714
21,91.044776119403,92.5373134328358,92.5373134328358
21.5,88.8888888888889,92.0634920634921,90.4761904761905
22,87.9310344827586,91.3793103448276,89.6551724137931
22.5,87.5,91.0714285714286,89.2857142857143
23,87.5,91.0714285714286,89.2857142857143
23.5,87.5,89.2857142857143,89.2857142857143
24,85.7142857142857,89.2857142857143,87.5
24.5,85.7142857142857,89.2857142857143,89.2857142857143
25,85.7142857142857,89.2857142857143,89.2857142857143
25.5,85.4545454545455,89.0909090909091,89.0909090909091
26,88.6792452830189,90.5660377358491,90.5660377358491
26.5,91.6666666666667,91.6666666666667,93.75
27,91.6666666666667,91.6666666666667,93.75
27.5,90.4761904761905,90.4761904761905,92.8571428571429
28,89.7435897435898,92.3076923076923,94.8717948717949
28.5,88.5714285714286,91.4285714285714,91.4285714285714
29,91.4285714285714,91.4285714285714,94.2857142857143
29.5,90,90,93.3333333333333
30,89.2857142857143,92.8571428571429,92.8571428571429
30.5,89.2857142857143,92.8571428571429,92.8571428571429
31,89.2857142857143,92.8571428571429,92.8571428571429
31.5,89.2857142857143,92.8571428571429,92.8571428571429
32,89.2857142857143,92.8571428571429,92.8571428571429
32.5,89.2857142857143,92.8571428571429,92.8571428571429
33,92.8571428571429,92.8571428571429,92.8571428571429
33.5,92.8571428571429,92.8571428571429,92.8571428571429
34,92.8571428571429,92.8571428571429,92.8571428571429
34.5,92.8571428571429,92.8571428571429,92.8571428571429
35,92.8571428571429,92.8571428571429,92.8571428571429
35.5,92.8571428571429,92.8571428571429,92.8571428571429
36,92.8571428571429,92.8571428571429,92.8571428571429
36.5,92.8571428571429,92.8571428571429,92.8571428571429
37,92.8571428571429,92.8571428571429,92.8571428571429
37.5,92.8571428571429,92.8571428571429,92.8571428571429
38,92.5925925925926,92.5925925925926,92.5925925925926
38.5,92.5925925925926,92.5925925925926,92.5925925925926
39,92,92,92
39.5,92,92,92
40,95,95,95
