windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC,testMuMetric4_gA_3CC_Voting
0.5,62.8664495114006,61.6798510935319,63.4015821312238
1,68.0581613508443,67.0731707317073,70.7317073170732
1.5,73.2574679943101,72.9018492176387,74.75106685633
2,75.6214149139579,75.0478011472275,77.5334608030593
2.5,78.2345828295042,79.4437726723095,79.9274486094317
3,79.5620437956204,82.7737226277372,81.021897810219
3.5,80.1724137931034,81.551724137931,82.2413793103448
4,81.9085487077535,84.2942345924453,84.6918489065606
4.5,82.766439909297,85.0340136054422,85.0340136054422
5,84.9872773536896,85.2417302798982,85.2417302798982
5.5,85.8757062146893,87.0056497175141,87.2881355932203
6,86.3777089783282,83.28173374613,86.687306501548
6.5,86.734693877551,85.3741496598639,88.0952380952381
7,88.1918819188192,87.8228782287823,87.8228782287823
7.5,89.2,87.2,89.6
8,88.646288209607,90.3930131004367,89.9563318777293
8.5,86.046511627907,86.046511627907,90.2325581395349
9,89.5522388059701,89.0547263681592,91.044776119403
9.5,87.7659574468085,90.9574468085106,89.8936170212766
10,89.1428571428571,90.2857142857143,90.2857142857143
10.5,89.8809523809524,89.8809523809524,89.8809523809524
11,89.1025641025641,92.3076923076923,91.6666666666667
11.5,90.4761904761905,92.5170068027211,92.5170068027211
12,90.8450704225352,92.2535211267606,93.6619718309859
12.5,91.044776119403,91.044776119403,92.5373134328358
13,91.3385826771654,92.9133858267717,92.1259842519685
13.5,92.5,95.8333333333333,94.1666666666667
14,92.1739130434783,93.9130434782609,93.0434782608696
14.5,93.5185185185185,94.4444444444444,93.5185185185185
15,94.3396226415094,93.3962264150943,92.4528301886792
15.5,94.059405940594,95.049504950495,94.059405940594
16,94.6808510638298,95.7446808510638,94.6808510638298
16.5,94.4444444444444,95.5555555555556,94.4444444444444
17,91.7647058823529,95.2941176470588,92.9411764705882
17.5,93.9024390243902,95.1219512195122,93.9024390243902
18,93.8271604938272,95.0617283950617,93.8271604938272
18.5,93.75,95,93.75
19,93.5897435897436,94.8717948717949,93.5897435897436
19.5,93.1506849315068,95.8904109589041,93.1506849315068
20,95.5223880597015,98.5074626865672,95.5223880597015
20.5,95.3125,98.4375,95.3125
21,95.0819672131148,98.3606557377049,95.0819672131148
21.5,94.6428571428571,98.2142857142857,94.6428571428571
22,94.4444444444444,98.1481481481482,92.5925925925926
22.5,96.2962962962963,96.2962962962963,96.2962962962963
23,96.2962962962963,96.2962962962963,94.4444444444444
23.5,94.4444444444444,96.2962962962963,92.5925925925926
24,94.4444444444444,96.2962962962963,92.5925925925926
24.5,94.3396226415094,96.2264150943396,94.3396226415094
25,94.2307692307692,96.1538461538462,94.2307692307692
25.5,93.8775510204082,95.9183673469388,91.8367346938776
26,93.4782608695652,95.6521739130435,91.304347826087
26.5,97.5609756097561,100,95.1219512195122
27,97.4358974358974,100,97.4358974358974
27.5,97.2222222222222,100,97.2222222222222
28,97.0588235294118,100,94.1176470588235
28.5,96.551724137931,100,93.1034482758621
29,96.4285714285714,100,92.8571428571429
29.5,96.2962962962963,100,92.5925925925926
30,96.2962962962963,100,92.5925925925926
30.5,96.2962962962963,100,92.5925925925926
31,96.2962962962963,100,92.5925925925926
31.5,96.2962962962963,100,92.5925925925926
32,96.2962962962963,100,96.2962962962963
32.5,96.2962962962963,100,96.2962962962963
33,96.2962962962963,100,96.2962962962963
33.5,96.2962962962963,100,96.2962962962963
34,96.2962962962963,100,96.2962962962963
34.5,96.2962962962963,100,96.2962962962963
35,96.2962962962963,100,92.5925925925926
35.5,96.2962962962963,100,92.5925925925926
36,96.2962962962963,100,92.5925925925926
36.5,96.1538461538462,100,92.3076923076923
37,96.1538461538462,100,92.3076923076923
37.5,96,100,92
38,95.8333333333333,100,95.8333333333333
38.5,95.2380952380952,100,95.2380952380952
39,94.7368421052632,94.7368421052632,94.7368421052632
39.5,100,100,100
40,100,100,100
