windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC
0.5,48.9264173703257,49.0470446320869
1,48.6867704280156,48.8326848249027
1.5,51.2536873156342,50.1474926253687
2,52.7777777777778,50.3968253968254
2.5,52.1303258145363,51.2531328320802
3,51.2121212121212,52.1212121212121
3.5,52.7728085867621,53.1305903398927
4,52.4793388429752,51.4462809917355
4.5,52.5821596244132,50.2347417840376
5,52.2427440633245,53.0343007915567
5.5,52.9239766081871,51.4619883040936
6,56.5916398713826,54.0192926045016
6.5,56.5371024734982,54.7703180212014
7,55.5555555555556,50.1915708812261
7.5,54.356846473029,54.356846473029
8,56.5610859728507,50.6787330316742
8.5,55.7692307692308,53.8461538461538
9,58.7628865979381,54.639175257732
9.5,57.4585635359116,53.5911602209945
10,58.5798816568047,53.8461538461538
10.5,56.5217391304348,55.2795031055901
11,54.9668874172185,53.6423841059603
11.5,59.1549295774648,55.6338028169014
12,55.8823529411765,54.4117647058823
12.5,57.3643410852713,55.0387596899225
13,60.9756097560976,55.2845528455285
13.5,63.7931034482759,61.2068965517241
14,60.9090909090909,61.8181818181818
14.5,61.5384615384615,57.6923076923077
15,64.7058823529412,54.9019607843137
15.5,62.2448979591837,59.1836734693878
16,63.7362637362637,63.7362637362637
16.5,62.0689655172414,56.3218390804598
17,63.4146341463415,58.5365853658537
17.5,65.8227848101266,62.0253164556962
18,62.8205128205128,58.974358974359
18.5,63.6363636363636,55.8441558441558
19,61.3333333333333,54.6666666666667
19.5,69.0140845070423,60.5633802816901
20,63.0769230769231,61.5384615384615
20.5,62.9032258064516,61.2903225806452
21,58.6206896551724,58.6206896551724
21.5,59.2592592592593,55.5555555555556
22,63.4615384615385,55.7692307692308
22.5,67.3076923076923,57.6923076923077
23,67.3076923076923,57.6923076923077
23.5,69.2307692307692,57.6923076923077
24,69.2307692307692,61.5384615384615
24.5,70.5882352941177,60.7843137254902
25,70,62
25.5,68.75,60.4166666666667
26,73.3333333333333,62.2222222222222
26.5,77.5,62.5
27,78.9473684210526,60.5263157894737
27.5,77.1428571428572,60
28,75,59.375
28.5,78.5714285714286,57.1428571428571
29,77.7777777777778,62.962962962963
29.5,76.9230769230769,69.2307692307692
30,76.9230769230769,65.3846153846154
30.5,73.0769230769231,65.3846153846154
31,76.9230769230769,61.5384615384615
31.5,80.7692307692308,61.5384615384615
32,76.9230769230769,61.5384615384615
32.5,76.9230769230769,57.6923076923077
33,73.0769230769231,57.6923076923077
33.5,73.0769230769231,53.8461538461538
34,73.0769230769231,53.8461538461538
34.5,69.2307692307692,53.8461538461538
35,69.2307692307692,57.6923076923077
35.5,73.0769230769231,57.6923076923077
36,73.0769230769231,61.5384615384615
36.5,72,60
37,72,56
37.5,70.8333333333333,54.1666666666667
38,69.5652173913043,52.1739130434783
38.5,66.6666666666667,52.3809523809524
39,68.4210526315789,57.8947368421053
39.5,76.4705882352941,58.8235294117647
40,76.9230769230769,53.8461538461538
