windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC,testMuMetric4_gA_3CC_Voting
0.5,65.6362007168459,60.9094982078853,65.255376344086
1,73.4417344173442,65.4923215898826,72.4028906955736
1.5,77.2602739726027,70.5479452054795,76.986301369863
2,80.3867403314917,72.0073664825046,80.5709023941068
2.5,83.5855646100116,73.8067520372526,82.1885913853318
3,85.0914205344585,75.3867791842475,83.2630098452883
3.5,84.8837209302326,77.0764119601329,84.21926910299
4,86.3984674329502,76.8199233716475,85.632183908046
4.5,86.8995633187773,77.9475982532751,86.6812227074236
5,86.5196078431373,77.9411764705882,86.7647058823529
5.5,86.9565217391304,78.804347826087,88.0434782608696
6,87.4626865671642,79.4029850746269,87.1641791044776
6.5,87.8688524590164,80.9836065573771,88.1967213114754
7,86.8327402135231,81.8505338078292,87.9003558718861
7.5,86.5384615384615,81.1538461538462,87.3076923076923
8,86.9747899159664,84.0336134453782,86.9747899159664
8.5,88.3408071748879,85.6502242152466,88.3408071748879
9,88.0382775119617,84.688995215311,88.9952153110048
9.5,87.6923076923077,84.1025641025641,87.6923076923077
10,89.010989010989,84.0659340659341,87.9120879120879
10.5,89.6551724137931,82.183908045977,90.2298850574713
11,89.5061728395062,86.4197530864197,89.5061728395062
11.5,88.8888888888889,84.9673202614379,90.1960784313726
12,89.1156462585034,85.0340136054422,89.1156462585034
12.5,88.4892086330935,85.6115107913669,89.2086330935252
13,90.1515151515152,85.6060606060606,90.9090909090909
13.5,90.4,86.4,91.2
14,89.9159663865546,84.8739495798319,90.7563025210084
14.5,89.2857142857143,85.7142857142857,89.2857142857143
15,89.0909090909091,86.3636363636364,89.0909090909091
15.5,89.5238095238095,87.6190476190476,90.4761904761905
16,88.7755102040816,87.7551020408163,89.7959183673469
16.5,90.4255319148936,86.1702127659574,90.4255319148936
17,90.9090909090909,86.3636363636364,90.9090909090909
17.5,89.4117647058824,87.0588235294118,90.5882352941177
18,89.2857142857143,82.1428571428571,90.4761904761905
18.5,87.9518072289157,84.3373493975904,89.1566265060241
19,88.8888888888889,87.6543209876543,90.1234567901235
19.5,90.7894736842105,88.1578947368421,90.7894736842105
20,90,88.5714285714286,90
20.5,92.5373134328358,89.5522388059701,92.5373134328358
21,90.4761904761905,87.3015873015873,90.4761904761905
21.5,89.6551724137931,86.2068965517241,87.9310344827586
22,89.2857142857143,85.7142857142857,87.5
22.5,89.2857142857143,85.7142857142857,87.5
23,89.2857142857143,87.5,87.5
23.5,89.2857142857143,87.5,87.5
24,89.2857142857143,87.5,87.5
24.5,87.2727272727273,85.4545454545455,89.0909090909091
25,87.037037037037,87.037037037037,88.8888888888889
25.5,92.156862745098,86.2745098039216,92.156862745098
26,91.6666666666667,85.4166666666667,91.6666666666667
26.5,90.6976744186046,83.7209302325581,90.6976744186046
27,92.6829268292683,82.9268292682927,92.6829268292683
27.5,92.1052631578947,86.8421052631579,92.1052631578947
28,91.4285714285714,88.5714285714286,91.4285714285714
28.5,90,86.6666666666667,90
29,89.6551724137931,82.7586206896552,89.6551724137931
29.5,92.8571428571429,82.1428571428571,92.8571428571429
30,92.8571428571429,82.1428571428571,92.8571428571429
30.5,92.8571428571429,85.7142857142857,92.8571428571429
31,92.8571428571429,89.2857142857143,92.8571428571429
31.5,92.8571428571429,85.7142857142857,92.8571428571429
32,92.8571428571429,92.8571428571429,92.8571428571429
32.5,92.8571428571429,92.8571428571429,92.8571428571429
33,92.8571428571429,85.7142857142857,92.8571428571429
33.5,92.8571428571429,85.7142857142857,92.8571428571429
34,92.8571428571429,89.2857142857143,92.8571428571429
34.5,92.8571428571429,89.2857142857143,92.8571428571429
35,92.8571428571429,85.7142857142857,92.8571428571429
35.5,92.8571428571429,85.7142857142857,92.8571428571429
36,92.8571428571429,85.7142857142857,92.8571428571429
36.5,92.5925925925926,92.5925925925926,92.5925925925926
37,92.5925925925926,92.5925925925926,92.5925925925926
37.5,92.3076923076923,88.4615384615385,92.3076923076923
38,92,88,92
38.5,95.4545454545455,90.9090909090909,95.4545454545455
39,95,90,95
39.5,94.4444444444444,88.8888888888889,94.4444444444444
40,92.8571428571429,92.8571428571429,92.8571428571429
