windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC
0.5,50.6272401433692,49.6191756272401
1,50.316169828365,49.7741644083108
1.5,51.4383561643836,49.1780821917808
2,53.1307550644567,48.4346224677716
2.5,51.3387660069849,49.825378346915
3,52.7426160337553,50.7735583684951
3.5,51.6611295681063,47.5083056478405
4,53.8314176245211,51.3409961685824
4.5,52.4017467248908,51.528384279476
5,54.9019607843137,54.1666666666667
5.5,54.8913043478261,54.0760869565217
6,55.5223880597015,53.4328358208955
6.5,53.1147540983606,53.1147540983606
7,57.6512455516014,52.3131672597865
7.5,60.7692307692308,56.5384615384615
8,53.781512605042,54.6218487394958
8.5,55.6053811659193,52.914798206278
9,56.4593301435407,50.7177033492823
9.5,56.4102564102564,53.8461538461538
10,56.5934065934066,53.2967032967033
10.5,55.1724137931034,54.0229885057471
11,54.320987654321,56.7901234567901
11.5,54.9019607843137,53.5947712418301
12,56.4625850340136,51.0204081632653
12.5,56.1151079136691,55.3956834532374
13,61.3636363636364,57.5757575757576
13.5,59.2,57.6
14,56.3025210084034,56.3025210084034
14.5,57.1428571428571,60.7142857142857
15,58.1818181818182,60.9090909090909
15.5,60.952380952381,60.952380952381
16,62.2448979591837,61.2244897959184
16.5,67.0212765957447,60.6382978723404
17,64.7727272727273,56.8181818181818
17.5,64.7058823529412,56.4705882352941
18,61.9047619047619,54.7619047619048
18.5,60.2409638554217,61.4457831325301
19,62.962962962963,62.962962962963
19.5,61.8421052631579,60.5263157894737
20,58.5714285714286,58.5714285714286
20.5,59.7014925373134,59.7014925373134
21,65.0793650793651,58.7301587301587
21.5,67.2413793103448,63.7931034482759
22,69.6428571428571,62.5
22.5,67.8571428571429,60.7142857142857
23,64.2857142857143,60.7142857142857
23.5,64.2857142857143,60.7142857142857
24,62.5,62.5
24.5,65.4545454545455,63.6363636363636
25,66.6666666666667,64.8148148148148
25.5,68.6274509803922,62.7450980392157
26,70.8333333333333,64.5833333333333
26.5,69.7674418604651,62.7906976744186
27,63.4146341463415,63.4146341463415
27.5,60.5263157894737,63.1578947368421
28,62.8571428571429,68.5714285714286
28.5,63.3333333333333,66.6666666666667
29,68.9655172413793,68.9655172413793
29.5,67.8571428571429,67.8571428571429
30,67.8571428571429,64.2857142857143
30.5,71.4285714285714,64.2857142857143
31,71.4285714285714,71.4285714285714
31.5,75,71.4285714285714
32,75,71.4285714285714
32.5,71.4285714285714,71.4285714285714
33,71.4285714285714,71.4285714285714
33.5,71.4285714285714,71.4285714285714
34,75,67.8571428571429
34.5,71.4285714285714,67.8571428571429
35,71.4285714285714,71.4285714285714
35.5,71.4285714285714,71.4285714285714
36,71.4285714285714,67.8571428571429
36.5,70.3703703703704,74.0740740740741
37,70.3703703703704,70.3703703703704
37.5,69.2307692307692,73.0769230769231
38,72,76
38.5,77.2727272727273,81.8181818181818
39,80,85
39.5,77.7777777777778,83.3333333333333
40,71.4285714285714,85.7142857142857
