windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC,testMuMetric4_gA_3CC_Voting
0.5,61.1926812740004,61.1926812740004,63.7903772306302
1,64.9090909090909,65.1818181818182,69.6818181818182
1.5,68.6896551724138,70.6896551724138,73.1724137931035
2,70.6430568499534,73.7185461323392,76.7940354147251
2.5,72.855464159812,76.6157461809636,78.3783783783784
3,74.0112994350282,77.683615819209,79.9435028248588
3.5,75.7118927973199,79.0619765494137,80.9045226130653
4,75.5813953488372,82.7519379844961,81.3953488372093
4.5,76.1487964989059,82.9321663019694,82.4945295404814
5,75.4299754299754,84.2751842751843,85.012285012285
5.5,77.2602739726027,86.027397260274,84.1095890410959
6,77.0392749244713,86.7069486404834,86.7069486404834
6.5,78.9473684210526,87.1710526315789,86.5131578947368
7,81.3620071684588,87.4551971326165,87.8136200716846
7.5,80.859375,88.671875,87.5
8,79.746835443038,88.1856540084388,86.0759493670886
8.5,79.5555555555556,87.5555555555556,87.5555555555556
9,82.6923076923077,88.4615384615385,88.9423076923077
9.5,83.0769230769231,89.7435897435898,89.2307692307692
10,83.4254143646409,90.0552486187845,90.6077348066298
10.5,85.4651162790698,90.1162790697674,89.5348837209302
11,84.6625766871166,92.0245398773006,91.4110429447853
11.5,85.0649350649351,89.6103896103896,91.5584415584416
12,87.5862068965517,92.4137931034483,91.7241379310345
12.5,86.8613138686131,91.2408759124088,89.7810218978102
13,87.1212121212121,90.9090909090909,90.1515151515152
13.5,85.0393700787402,91.3385826771654,91.3385826771654
14,85.5932203389831,93.2203389830508,91.5254237288136
14.5,86.0869565217391,94.7826086956522,93.0434782608696
15,85.1851851851852,95.3703703703704,92.5925925925926
15.5,85.7142857142857,95.2380952380952,94.2857142857143
16,85,95,92
16.5,85.1063829787234,95.7446808510638,92.5531914893617
17,87.9120879120879,96.7032967032967,95.6043956043956
17.5,90.3614457831325,95.1807228915663,93.9759036144578
18,88.8888888888889,93.8271604938272,92.5925925925926
18.5,88.8888888888889,93.8271604938272,92.5925925925926
19,87.5,93.75,92.5
19.5,91.025641025641,94.8717948717949,92.3076923076923
20,87.6712328767123,95.8904109589041,91.7808219178082
20.5,89.5522388059701,97.0149253731343,95.5223880597015
21,90.625,96.875,95.3125
21.5,91.8032786885246,96.7213114754098,93.4426229508197
22,91.0714285714286,96.4285714285714,92.8571428571429
22.5,90.7407407407407,94.4444444444444,94.4444444444444
23,90.7407407407407,94.4444444444444,94.4444444444444
23.5,90.7407407407407,94.4444444444444,94.4444444444444
24,92.5925925925926,94.4444444444444,94.4444444444444
24.5,92.5925925925926,94.4444444444444,94.4444444444444
25,88.8888888888889,94.4444444444444,94.4444444444444
25.5,86.7924528301887,96.2264150943396,92.4528301886792
26,86.2745098039216,92.156862745098,92.156862745098
26.5,86.9565217391304,95.6521739130435,91.304347826087
27,89.1304347826087,93.4782608695652,93.4782608695652
27.5,95,100,97.5
28,94.5945945945946,100,97.2972972972973
28.5,94.1176470588235,100,97.0588235294118
29,94.1176470588235,100,97.0588235294118
29.5,96.551724137931,100,96.551724137931
30,92.5925925925926,100,96.2962962962963
30.5,96.2962962962963,100,96.2962962962963
31,92.5925925925926,100,96.2962962962963
31.5,92.5925925925926,100,96.2962962962963
32,92.5925925925926,100,96.2962962962963
32.5,92.5925925925926,100,96.2962962962963
33,92.5925925925926,100,96.2962962962963
33.5,92.5925925925926,100,96.2962962962963
34,92.5925925925926,100,96.2962962962963
34.5,92.5925925925926,100,96.2962962962963
35,96.2962962962963,100,96.2962962962963
35.5,96.2962962962963,100,96.2962962962963
36,96.2962962962963,100,96.2962962962963
36.5,96.2962962962963,100,96.2962962962963
37,96.2962962962963,100,96.2962962962963
37.5,96.2962962962963,100,96.2962962962963
38,96.1538461538462,100,96.1538461538462
38.5,96.1538461538462,100,96.1538461538462
39,95.8333333333333,100,95.8333333333333
39.5,95.8333333333333,95.8333333333333,95.8333333333333
40,94.7368421052632,94.7368421052632,94.7368421052632
