windowSize,testMuMetric1_gA_1CC,testMuMetric2_gA_gU_1CC,testMuMetric4_gA_3CC_Voting
0.5,65.3799758745477,61.6405307599518,69.9396863691194
1,72.6167315175097,68.920233463035,78.2587548638132
1.5,76.401179941003,73.5250737463127,81.3421828908555
2,79.8611111111111,76.984126984127,84.0277777777778
2.5,80.3258145363409,79.0726817042606,85.7142857142857
3,84.0909090909091,80.4545454545455,87.8787878787879
3.5,84.6153846153846,81.3953488372093,89.2665474060823
4,85.3305785123967,83.6776859504132,91.5289256198347
4.5,87.5586854460094,85.4460093896714,92.4882629107981
5,87.0712401055409,85.2242744063325,92.3482849604222
5.5,89.4736842105263,86.2573099415205,94.4444444444444
6,90.9967845659164,88.1028938906752,93.8906752411576
6.5,90.4593639575972,87.2791519434629,93.9929328621908
7,90.4214559386973,87.7394636015326,93.4865900383142
7.5,91.2863070539419,89.2116182572614,93.7759336099585
8,94.1176470588235,89.5927601809955,96.3800904977376
8.5,90.8653846153846,90.3846153846154,93.75
9,92.2680412371134,91.2371134020619,93.8144329896907
9.5,92.8176795580111,92.2651933701657,94.475138121547
10,93.491124260355,92.8994082840237,94.0828402366864
10.5,93.7888198757764,93.7888198757764,93.7888198757764
11,95.364238410596,94.0397350993377,96.0264900662252
11.5,95.7746478873239,94.3661971830986,96.4788732394366
12,94.8529411764706,92.6470588235294,96.3235294117647
12.5,93.0232558139535,91.4728682170543,95.3488372093023
13,96.7479674796748,93.4959349593496,98.3739837398374
13.5,95.6896551724138,94.8275862068966,96.551724137931
14,96.3636363636364,96.3636363636364,98.1818181818182
14.5,97.1153846153846,97.1153846153846,97.1153846153846
15,94.1176470588235,95.0980392156863,97.0588235294118
15.5,95.9183673469388,95.9183673469388,97.9591836734694
16,97.8021978021978,95.6043956043956,98.9010989010989
16.5,98.8505747126437,97.7011494252874,100
17,97.5609756097561,96.3414634146341,98.780487804878
17.5,98.7341772151899,94.9367088607595,100
18,100,96.1538461538462,98.7179487179487
18.5,100,97.4025974025974,100
19,98.6666666666667,98.6666666666667,100
19.5,98.5915492957747,98.5915492957747,100
20,98.4615384615385,98.4615384615385,100
20.5,100,98.3870967741936,100
21,100,98.2758620689655,100
21.5,100,98.1481481481482,100
22,100,98.0769230769231,100
22.5,100,98.0769230769231,100
23,100,98.0769230769231,100
23.5,100,98.0769230769231,100
24,100,98.0769230769231,100
24.5,100,98.0392156862745,100
25,100,98,100
25.5,100,97.9166666666667,100
26,100,97.7777777777778,100
26.5,100,97.5,100
27,100,97.3684210526316,100
27.5,100,97.1428571428571,100
28,100,96.875,100
28.5,100,96.4285714285714,100
29,100,96.2962962962963,100
29.5,100,96.1538461538462,100
30,100,96.1538461538462,100
30.5,100,96.1538461538462,100
31,100,96.1538461538462,100
31.5,100,96.1538461538462,100
32,100,96.1538461538462,100
32.5,100,96.1538461538462,100
33,100,96.1538461538462,100
33.5,100,96.1538461538462,100
34,100,96.1538461538462,100
34.5,100,96.1538461538462,100
35,100,96.1538461538462,100
35.5,100,96.1538461538462,100
36,100,96.1538461538462,100
36.5,100,96,100
37,100,96,100
37.5,100,95.8333333333333,100
38,100,95.6521739130435,100
38.5,100,95.2380952380952,100
39,100,100,100
39.5,100,100,100
40,100,100,100
